A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16
a,38.58,5.0,u,g,cc,v,13.5,t,f,0,t,g,980.0,0,0
b,44.25,0.5,u,g,m,v,10.75,t,f,0,f,s,400.0,0,0
b,44.83,7.0,y,p,c,v,1.625,f,f,0,f,g,160.0,2,0
b,20.67,5.29,u,g,q,v,0.375,t,t,1,f,g,160.0,0,0
b,34.08,6.5,u,g,aa,v,0.125,t,f,0,t,g,443.0,0,0
a,19.17,0.585,y,p,aa,v,0.585,t,f,0,t,g,160.0,0,0
b,21.67,1.165,y,p,k,v,2.5,t,t,1,f,g,180.0,20,0
b,21.5,9.75,u,g,c,v,0.25,t,f,0,f,g,140.0,0,0
b,49.58,19.0,u,g,ff,ff,0.0,t,t,1,f,g,94.0,0,0
a,27.67,1.5,u,g,m,v,2.0,t,f,0,f,s,368.0,0,0
b,39.83,0.5,u,g,m,v,0.25,t,f,0,f,s,288.0,0,0
a,0.0,3.5,u,g,d,v,3.0,t,f,0,t,g,300.0,0,0
b,27.25,0.625,u,g,aa,v,0.455,t,f,0,t,g,200.0,0,0
b,37.17,4.0,u,g,c,bb,5.0,t,f,0,t,s,280.0,0,0
b,0.0,0.375,u,g,d,v,0.875,t,f,0,t,s,928.0,0,0
b,25.67,2.21,y,p,aa,v,4.0,t,f,0,f,g,188.0,0,0
b,34.0,4.5,u,g,aa,v,1.0,t,f,0,t,g,240.0,0,0
a,49.0,1.5,u,g,j,j,0.0,t,f,0,t,g,100.0,27,0
b,62.5,12.75,y,p,c,h,5.0,t,f,0,f,g,112.0,0,0
b,31.42,15.5,u,g,c,v,0.5,t,f,0,f,g,120.0,0,0
b,0.0,5.0,y,p,aa,v,8.5,t,f,0,f,g,0.0,0,0
b,52.33,1.375,y,p,c,h,9.46,t,f,0,t,g,200.0,100,0
b,28.75,1.5,y,p,c,v,1.5,t,f,0,t,g,0.0,225,0
a,28.58,3.54,u,g,i,bb,0.5,t,f,0,t,g,171.0,0,0
b,23.0,0.625,y,p,aa,v,0.125,t,f,0,f,g,180.0,1,0
b,0.0,0.5,u,g,c,bb,0.835,t,f,0,t,s,320.0,0,0
a,22.5,11.0,y,p,q,v,3.0,t,f,0,t,g,268.0,0,0
a,28.5,1.0,u,g,q,v,1.0,t,t,2,t,g,167.0,500,0
b,37.5,1.75,y,p,c,bb,0.25,t,f,0,t,g,164.0,400,0
b,35.25,16.5,y,p,c,v,4.0,t,f,0,f,g,80.0,0,0
b,18.67,5.0,u,g,q,v,0.375,t,t,2,f,g,0.0,38,0
b,25.0,12.0,u,g,k,v,2.25,t,t,2,t,g,120.0,5,0
b,27.83,4.0,y,p,i,h,5.75,t,t,2,t,g,75.0,0,0
b,54.83,15.5,u,g,e,z,0.0,t,t,20,f,g,152.0,130,0
b,28.75,1.165,u,g,k,v,0.5,t,f,0,f,s,280.0,0,0
a,25.0,11.0,y,p,aa,v,4.5,t,f,0,f,g,120.0,0,0
b,40.92,2.25,y,p,x,h,10.0,t,f,0,t,g,176.0,0,0
a,19.75,0.75,u,g,c,v,0.795,t,t,5,t,g,140.0,5,0
b,29.17,3.5,u,g,w,v,3.5,t,t,3,t,g,329.0,0,0
a,24.5,1.04,y,p,ff,ff,0.5,t,t,3,f,g,180.0,147,0
b,24.58,12.5,u,g,w,v,0.875,t,f,0,t,g,260.0,0,0
a,33.75,0.75,u,g,k,bb,1.0,t,t,3,t,g,212.0,0,0
b,20.67,1.25,y,p,c,h,1.375,t,t,3,t,g,140.0,210,0
a,25.42,1.125,u,g,q,v,1.29,t,t,2,f,g,200.0,0,0
b,37.75,7.0,u,g,q,h,11.5,t,t,7,t,g,300.0,5,0
b,52.5,6.5,u,g,k,v,6.29,t,t,15,f,g,0.0,11202,1
b,57.83,7.04,u,g,m,v,14.0,t,t,6,t,g,360.0,1332,1
a,20.75,10.335,u,g,cc,h,0.335,t,t,1,t,g,80.0,50,1
b,39.92,6.21,u,g,q,v,0.04,t,t,1,f,g,200.0,300,1
b,25.67,12.5,u,g,cc,v,1.21,t,t,67,t,g,140.0,258,1
a,24.75,12.5,u,g,aa,v,1.5,t,t,12,t,g,120.0,567,1
a,44.17,6.665,u,g,q,v,7.375,t,t,3,t,g,0.0,0,1
a,23.5,9.0,u,g,q,v,8.5,t,t,5,t,g,120.0,0,1
b,34.92,5.0,u,g,x,h,7.5,t,t,6,t,g,0.0,1000,1
b,47.67,2.5,u,g,m,bb,2.5,t,t,12,t,g,410.0,2510,1
b,22.75,11.0,u,g,q,v,2.5,t,t,7,t,g,100.0,809,1
b,34.42,4.25,u,g,i,bb,3.25,t,t,2,f,g,274.0,610,1
a,28.42,3.5,u,g,w,v,0.835,t,f,0,f,s,280.0,0,1
b,67.75,5.5,u,g,e,z,13.0,t,t,1,t,g,0.0,0,1
b,20.42,1.835,u,g,c,v,2.25,t,t,1,f,g,100.0,150,1
a,47.42,8.0,u,g,e,bb,6.5,t,t,6,f,g,375.0,51100,1
b,36.25,5.0,u,g,c,bb,2.5,t,t,6,f,g,0.0,367,1
b,32.67,5.5,u,g,q,h,5.5,t,t,12,t,g,408.0,1000,1
b,48.58,6.5,u,g,q,h,6.0,t,f,0,t,g,350.0,0,1
b,39.92,0.54,y,p,aa,v,0.5,t,t,3,f,g,200.0,1000,1
b,33.58,2.75,u,g,m,v,4.25,t,t,6,f,g,204.0,0,1
a,18.83,9.5,u,g,w,v,1.625,t,t,6,t,g,40.0,600,1
a,26.92,13.5,u,g,q,h,5.0,t,t,2,f,g,0.0,5000,1
a,31.25,3.75,u,g,cc,h,0.625,t,t,9,t,g,181.0,0,1
a,56.5,16.0,u,g,j,ff,0.0,t,t,15,f,g,0.0,247,1
b,43.0,0.29,y,p,cc,h,1.75,t,t,8,f,g,100.0,375,1
b,22.33,11.0,u,g,w,v,2.0,t,t,1,f,g,80.0,278,1
b,27.25,1.665,u,g,cc,h,5.085,t,t,9,f,g,399.0,827,1
b,32.83,2.5,u,g,cc,h,2.75,t,t,6,f,g,160.0,2072,1
b,23.25,1.5,u,g,q,v,2.375,t,t,3,t,g,0.0,582,1
a,40.33,7.54,y,p,q,h,8.0,t,t,14,f,g,0.0,2300,1
a,30.5,6.5,u,g,c,bb,4.0,t,t,7,t,g,0.0,3065,1
a,52.83,15.0,u,g,c,v,5.5,t,t,14,f,g,0.0,2200,1
a,46.67,0.46,u,g,cc,h,0.415,t,t,11,t,g,440.0,6,1
a,58.33,10.0,u,g,q,v,4.0,t,t,14,f,g,0.0,1602,1
b,37.33,6.5,u,g,m,h,4.25,t,t,12,t,g,93.0,0,1
b,23.08,2.5,u,g,c,v,1.085,t,t,11,t,g,60.0,2184,1
b,32.75,1.5,u,g,cc,h,5.5,t,t,3,t,g,0.0,0,1
a,21.67,11.5,y,p,j,j,0.0,t,t,11,t,g,0.0,0,1
a,28.5,3.04,y,p,x,h,2.54,t,t,1,f,g,70.0,0,1
a,68.67,15.0,u,g,e,z,0.0,t,t,14,f,g,0.0,3376,1
b,28.0,2.0,u,g,k,h,4.165,t,t,2,t,g,181.0,0,1
b,34.08,0.08,y,p,m,bb,0.04,t,t,1,t,g,280.0,2000,1
b,27.67,2.0,u,g,x,h,1.0,t,t,4,f,g,140.0,7544,1
b,44.0,2.0,u,g,m,v,1.75,t,t,2,t,g,0.0,15,1
b,25.08,1.71,u,g,x,v,1.665,t,t,1,t,g,395.0,20,1
b,32.0,1.75,y,p,e,h,0.04,t,f,0,t,g,393.0,0,1
a,60.58,16.5,u,g,q,v,11.0,t,f,0,t,g,21.0,10561,1
a,40.83,10.0,u,g,q,h,1.75,t,f,0,f,g,29.0,837,1
b,19.33,9.5,u,g,q,v,1.0,t,f,0,t,g,60.0,400,1
a,32.33,0.54,u,g,cc,v,0.04,t,f,0,f,g,440.0,11177,1
b,36.67,3.25,u,g,q,h,9.0,t,f,0,t,g,102.0,639,1
b,37.5,1.125,y,p,d,v,1.5,f,f,0,t,g,431.0,0,1
a,25.08,2.54,y,p,aa,v,0.25,t,f,0,t,g,370.0,0,1
b,41.33,0.0,u,g,c,bb,15.0,t,f,0,f,g,0.0,0,1
b,56.0,12.5,u,g,k,h,8.0,t,f,0,t,g,24.0,2028,1
a,49.83,13.585,u,g,k,h,8.5,t,f,0,t,g,0.0,0,1
b,22.67,10.5,u,g,q,h,1.335,t,f,0,f,g,100.0,0,1
b,27.0,1.5,y,p,w,v,0.375,t,f,0,t,g,260.0,1065,1
b,25.0,12.5,u,g,aa,v,3.0,t,f,0,t,s,20.0,0,1
a,26.08,8.665,u,g,aa,v,1.415,t,f,0,f,g,160.0,150,1
a,18.42,9.25,u,g,q,v,1.21,t,t,4,f,g,60.0,540,1
b,20.17,8.17,u,g,aa,v,1.96,t,t,14,f,g,60.0,158,1
b,47.67,0.29,u,g,c,bb,15.0,t,t,20,f,g,0.0,15000,1
a,21.25,2.335,u,g,i,bb,0.5,t,t,4,f,s,80.0,0,1
a,20.67,3.0,u,g,q,v,0.165,t,t,3,f,g,100.0,6,1
a,57.08,19.5,u,g,c,v,5.5,t,t,7,f,g,0.0,3000,1
a,22.42,5.665,u,g,q,v,2.585,t,t,7,f,g,129.0,3257,1
b,48.75,8.5,u,g,c,h,12.5,t,t,9,f,g,181.0,1655,1
b,40.0,6.5,u,g,aa,bb,3.5,t,t,1,f,g,0.0,500,1
b,40.58,5.0,u,g,c,v,5.0,t,t,7,f,g,0.0,3065,1
a,28.67,1.04,u,g,c,v,2.5,t,t,5,t,g,300.0,1430,1
a,33.08,4.625,u,g,q,h,1.625,t,t,2,f,g,0.0,0,1
b,21.33,10.5,u,g,c,v,3.0,t,f,0,t,g,0.0,0,1
b,42.0,0.205,u,g,i,h,5.125,t,f,0,f,g,400.0,0,1
b,41.75,0.96,u,g,x,v,2.5,t,f,0,f,g,510.0,600,1
b,22.67,1.585,y,p,w,v,3.085,t,t,6,f,g,80.0,0,1
b,34.5,4.04,y,p,i,bb,8.5,t,t,7,t,g,195.0,0,1
b,28.25,5.04,y,p,c,bb,1.5,t,t,8,t,g,144.0,7,1
b,33.17,3.165,y,p,x,v,3.165,t,t,3,t,g,380.0,0,1
b,48.17,7.625,u,g,w,h,15.5,t,t,12,f,g,0.0,790,1
b,27.58,2.04,y,p,aa,v,2.0,t,t,3,t,g,370.0,560,1
b,22.58,10.04,u,g,x,v,0.04,t,t,9,f,g,60.0,396,1
a,24.08,0.5,u,g,q,h,1.25,t,t,1,f,g,0.0,678,1
a,41.33,1.0,u,g,i,bb,2.25,t,f,0,t,g,0.0,300,1
b,24.83,2.75,u,g,c,v,2.25,t,t,6,f,g,0.0,600,1
a,20.75,10.25,u,g,q,v,0.71,t,t,2,t,g,49.0,0,1
b,36.33,2.125,y,p,w,v,0.085,t,t,1,f,g,50.0,1187,1
a,35.42,12.0,u,g,q,h,14.0,t,t,8,f,g,0.0,6590,1
a,71.58,0.0,Missing,Missing,Missing,Missing,0.0,f,f,0,f,p,0.0,0,1
b,28.67,9.335,u,g,q,h,5.665,t,t,6,f,g,381.0,168,1
b,35.17,2.5,u,g,k,v,4.5,t,t,7,f,g,150.0,1270,1
b,39.5,4.25,u,g,c,bb,6.5,t,t,16,f,g,117.0,1210,1
b,39.33,5.875,u,g,cc,h,10.0,t,t,14,t,g,399.0,0,1
b,24.33,6.625,y,p,d,v,5.5,t,f,0,t,s,100.0,0,1
b,60.08,14.5,u,g,ff,ff,18.0,t,t,15,t,g,0.0,1000,1
b,23.08,11.5,u,g,i,v,3.5,t,t,9,f,g,56.0,742,1
b,26.67,2.71,y,p,cc,v,5.25,t,t,1,f,g,211.0,0,1
b,48.17,3.5,u,g,aa,v,3.5,t,f,0,f,s,230.0,0,1
b,41.17,4.04,u,g,cc,h,7.0,t,t,8,f,g,320.0,0,1
b,55.92,11.5,u,g,ff,ff,5.0,t,t,5,f,g,0.0,8851,1
b,53.92,9.625,u,g,e,v,8.665,t,t,5,f,g,0.0,0,1
a,18.92,9.25,y,p,c,v,1.0,t,t,4,t,g,80.0,500,1
a,50.08,12.54,u,g,aa,v,2.29,t,t,3,t,g,156.0,0,1
b,65.42,11.0,u,g,e,z,20.0,t,t,7,t,g,22.0,0,1
a,17.58,9.0,u,g,aa,v,1.375,t,f,0,t,g,0.0,0,1
a,18.83,9.54,u,g,aa,v,0.085,t,f,0,f,g,100.0,0,1
a,37.75,5.5,u,g,q,v,0.125,t,f,0,t,g,228.0,0,1
b,23.25,4.0,u,g,c,bb,0.25,t,f,0,t,g,160.0,0,1
b,18.08,5.5,u,g,k,v,0.5,t,f,0,f,g,80.0,0,1
a,22.5,8.46,y,p,x,v,2.46,f,f,0,f,g,164.0,0,1
b,19.67,0.375,u,g,q,v,2.0,t,t,2,t,g,80.0,0,1
b,22.08,11.0,u,g,cc,v,0.665,t,f,0,f,g,100.0,0,1
b,25.17,3.5,u,g,cc,v,0.625,t,t,7,f,g,0.0,7059,1
a,47.42,3.0,u,g,x,v,13.875,t,t,2,t,g,519.0,1704,1
b,33.5,1.75,u,g,x,h,4.5,t,t,4,t,g,253.0,857,1
b,27.67,13.75,u,g,w,v,5.75,t,f,0,t,g,487.0,500,1
a,58.42,21.0,u,g,i,bb,10.0,t,t,13,f,g,0.0,6700,1
a,20.67,1.835,u,g,q,v,2.085,t,t,5,f,g,220.0,2503,1
b,26.17,0.25,u,g,i,bb,0.0,t,f,0,t,g,0.0,0,1
b,21.33,7.5,u,g,aa,v,1.415,t,t,1,f,g,80.0,9800,1
b,42.83,4.625,u,g,q,v,4.58,t,f,0,f,s,0.0,0,1
b,38.17,10.125,u,g,x,v,2.5,t,t,6,f,g,520.0,196,1
b,20.5,10.0,y,p,c,v,2.5,t,f,0,f,s,40.0,0,1
b,48.25,25.085,u,g,w,v,1.75,t,t,3,f,g,120.0,14,1
b,28.33,5.0,u,g,w,v,11.0,t,f,0,t,g,70.0,0,1
a,18.75,7.5,u,g,q,v,2.71,t,t,5,f,g,0.0,26726,1
b,18.5,2.0,u,g,i,v,1.5,t,t,2,f,g,120.0,300,1
b,33.17,3.04,y,p,c,h,2.04,t,t,1,t,g,180.0,18027,1
b,45.0,8.5,u,g,cc,h,14.0,t,t,1,t,g,88.0,2000,1
a,19.67,0.21,u,g,q,h,0.29,t,t,11,f,g,80.0,99,1
Missing,24.5,12.75,u,g,c,bb,4.75,t,t,2,f,g,73.0,444,1
b,21.83,11.0,u,g,x,v,0.29,t,t,6,f,g,121.0,0,1
b,40.25,21.5,u,g,e,z,20.0,t,t,11,f,g,0.0,1200,1
b,41.42,5.0,u,g,q,h,5.0,t,t,6,t,g,470.0,0,1
a,17.83,11.0,u,g,x,h,1.0,t,t,11,f,g,0.0,3000,1
b,23.17,11.125,u,g,x,h,0.46,t,t,1,f,g,100.0,0,1
b,0.0,0.625,u,g,k,v,0.25,f,f,0,f,g,380.0,2010,0
b,18.17,10.25,u,g,c,h,1.085,f,f,0,f,g,320.0,13,0
b,20.0,11.045,u,g,c,v,2.0,f,f,0,t,g,136.0,0,0
b,20.0,0.0,u,g,d,v,0.5,f,f,0,f,g,144.0,0,0
a,20.75,9.54,u,g,i,v,0.04,f,f,0,f,g,200.0,1000,0
a,24.5,1.75,y,p,c,v,0.165,f,f,0,f,g,132.0,0,0
b,32.75,2.335,u,g,d,h,5.75,f,f,0,t,g,292.0,0,0
a,52.17,0.0,y,p,ff,ff,0.0,f,f,0,f,g,0.0,0,0
a,48.17,1.335,u,g,i,o,0.335,f,f,0,f,g,0.0,120,0
a,20.42,10.5,y,p,x,h,0.0,f,f,0,t,g,154.0,32,0
b,50.75,0.585,u,g,ff,ff,0.0,f,f,0,f,g,145.0,0,0
b,17.08,0.085,y,p,c,v,0.04,f,f,0,f,g,140.0,722,0
b,18.33,1.21,y,p,e,dd,0.0,f,f,0,f,g,100.0,0,0
a,32.0,6.0,u,g,d,v,1.25,f,f,0,f,g,272.0,0,0
b,59.67,1.54,u,g,q,v,0.125,t,f,0,t,g,260.0,0,1
b,18.0,0.165,u,g,q,n,0.21,f,f,0,f,g,200.0,40,1
b,37.58,0.0,Missing,Missing,Missing,Missing,0.0,f,f,0,f,p,0.0,0,1
b,32.33,2.5,u,g,c,v,1.25,f,f,0,t,g,280.0,0,0
b,18.08,6.75,y,p,m,v,0.04,f,f,0,f,g,140.0,0,0
b,38.25,10.125,y,p,k,v,0.125,f,f,0,f,g,160.0,0,0
b,30.67,2.5,u,g,cc,h,2.25,f,f,0,t,s,340.0,0,0
b,18.58,5.71,u,g,d,v,0.54,f,f,0,f,g,120.0,0,0
a,19.17,5.415,u,g,i,h,0.29,f,f,0,f,g,80.0,484,0
a,18.17,10.0,y,p,q,h,0.165,f,f,0,f,g,340.0,0,0
b,24.58,13.5,y,p,ff,ff,0.0,f,f,0,f,g,0.0,0,0
b,16.25,0.835,u,g,m,v,0.085,t,f,0,f,s,200.0,0,0
b,21.17,0.875,y,p,c,h,0.25,f,f,0,f,g,280.0,204,0
b,23.92,0.585,y,p,cc,h,0.125,f,f,0,f,g,240.0,1,0
b,17.67,4.46,u,g,c,v,0.25,f,f,0,f,s,80.0,0,0
a,16.5,1.25,u,g,q,v,0.25,f,t,1,f,g,108.0,98,0
b,23.25,12.625,u,g,c,v,0.125,f,t,2,f,g,0.0,5552,0
b,17.58,10.0,u,g,w,h,0.165,f,t,1,f,g,120.0,1,0
a,0.0,1.5,u,g,ff,ff,0.0,f,t,2,t,g,200.0,105,0
b,29.5,0.58,u,g,w,v,0.29,f,t,1,f,g,340.0,2803,0
b,18.83,0.415,y,p,c,v,0.165,f,t,1,f,g,200.0,1,0
a,21.75,1.75,y,p,j,j,0.0,f,f,0,f,g,160.0,0,0
b,23.0,0.75,u,g,m,v,0.5,f,f,0,t,s,320.0,0,0
a,18.25,10.0,u,g,w,v,1.0,f,t,1,f,g,120.0,1,0
b,25.42,0.54,u,g,w,v,0.165,f,t,1,f,g,272.0,444,0
b,35.75,2.415,u,g,w,v,0.125,f,t,2,f,g,220.0,1,0
a,16.08,0.335,u,g,ff,ff,0.0,f,t,1,f,g,160.0,126,0
a,31.92,3.125,u,g,ff,ff,3.04,f,t,2,t,g,200.0,4,0
b,69.17,9.0,u,g,ff,ff,4.0,f,t,1,f,g,70.0,6,0
b,32.92,2.5,u,g,aa,v,1.75,f,t,2,t,g,720.0,0,0
b,16.33,2.75,u,g,aa,v,0.665,f,t,1,f,g,80.0,21,0
b,22.17,12.125,u,g,c,v,3.335,f,t,2,t,g,180.0,173,0
a,57.58,2.0,u,g,ff,ff,6.5,f,t,1,f,g,0.0,10,0
b,18.25,0.165,u,g,d,v,0.25,f,f,0,t,s,280.0,0,0
b,23.42,1.0,u,g,c,v,0.5,f,f,0,t,s,280.0,0,0
a,15.92,2.875,u,g,q,v,0.085,f,f,0,f,g,120.0,0,0
a,24.75,13.665,u,g,q,h,1.5,f,f,0,f,g,280.0,1,0
b,48.75,26.335,y,p,ff,ff,0.0,t,f,0,t,g,0.0,0,0
b,23.5,2.75,u,g,ff,ff,4.5,f,f,0,f,g,160.0,25,0
b,18.58,10.29,u,g,ff,ff,0.415,f,f,0,f,g,80.0,0,0
b,27.75,1.29,u,g,k,h,0.25,f,f,0,t,s,140.0,0,0
a,31.75,3.0,y,p,j,j,0.0,f,f,0,f,g,160.0,20,0
a,24.83,4.5,u,g,w,v,1.0,f,f,0,t,g,360.0,6,0
b,19.0,1.75,y,p,c,v,2.335,f,f,0,t,g,112.0,6,0
a,16.33,0.21,u,g,aa,v,0.125,f,f,0,f,g,200.0,1,0
a,18.58,10.0,u,g,d,v,0.415,f,f,0,f,g,80.0,42,0
b,16.25,0.0,y,p,aa,v,0.25,f,f,0,f,g,60.0,0,0
b,23.0,0.75,u,g,m,v,0.5,t,f,0,t,s,320.0,0,0
b,21.17,0.25,y,p,c,h,0.25,f,f,0,f,g,280.0,204,0
b,17.5,22.0,l,gg,ff,o,0.0,f,f,0,t,p,450.0,100000,1
b,19.17,0.0,y,p,m,bb,0.0,f,f,0,t,s,500.0,1,1
b,36.75,0.125,y,p,c,v,1.5,f,f,0,t,g,232.0,113,1
b,21.25,1.5,u,g,w,v,1.5,f,f,0,f,g,150.0,8,1
a,18.08,0.375,l,gg,cc,ff,10.0,f,f,0,t,s,300.0,0,1
a,33.67,0.375,u,g,cc,v,0.375,f,f,0,f,g,300.0,44,1
b,48.58,0.205,y,p,k,v,0.25,t,t,11,f,g,380.0,2732,1
b,33.67,1.25,u,g,w,v,1.165,f,f,0,f,g,120.0,0,0
a,29.5,1.085,y,p,x,v,1.0,f,f,0,f,g,280.0,13,0
b,30.17,1.085,y,p,c,v,0.04,f,f,0,f,g,170.0,179,0
Missing,40.83,3.5,u,g,i,bb,0.5,f,f,0,f,s,1160.0,0,0
b,34.83,2.5,y,p,w,v,3.0,f,f,0,f,s,200.0,0,0
b,0.0,4.0,y,p,i,v,0.085,f,f,0,t,g,411.0,0,0
b,20.42,0.0,Missing,Missing,Missing,Missing,0.0,f,f,0,f,p,0.0,0,0
a,33.25,2.5,y,p,c,v,2.5,f,f,0,t,g,0.0,2,0
b,34.08,2.5,u,g,c,v,1.0,f,f,0,f,g,460.0,16,0
a,25.25,12.5,u,g,d,v,1.0,f,f,0,t,g,180.0,1062,0
b,34.75,2.5,u,g,cc,bb,0.5,f,f,0,f,g,348.0,0,0
b,27.67,0.75,u,g,q,h,0.165,f,f,0,t,g,220.0,251,0
b,47.33,6.5,u,g,c,v,1.0,f,f,0,t,g,0.0,228,0
a,34.83,1.25,y,p,i,h,0.5,f,f,0,t,g,160.0,0,0
a,33.25,3.0,y,p,aa,v,2.0,f,f,0,f,g,180.0,0,0
b,28.0,3.0,u,g,w,v,0.75,f,f,0,t,g,300.0,67,0
a,39.08,4.0,u,g,c,v,3.0,f,f,0,f,g,480.0,0,0
b,42.75,4.085,u,g,aa,v,0.04,f,f,0,f,g,108.0,100,0
